sku,product_name,price,category_name,url
GEN-A4F4612D,Telephone Wire Cord 7M,630.0,Accessories,https://lifestore.lk/product/telephone-wire-cord-7m
GEN-EAB5EC22,Uniview Mw Lc24 24 Led Monitor,30465.0,Accessories,https://lifestore.lk/product/uniview-mw-lc24-24-led-monitor
GEN-14273AD4,Uniview Mw Lc22 22 Led Monitor,25385.0,Accessories,https://lifestore.lk/product/uniview-mw-lc22-22-led-monitor
GEN-82155BDD,Cudy 16 Port Gigabit Desktop Switch,21450.0,Network Switches,https://lifestore.lk/product/cudy-16-port-gigabit-desktop-switch
GEN-6C8272CA,Cudy 8 Port Gigabit Poe Switch,29145.0,Network Switches,https://lifestore.lk/product/cudy-8-port-gigabit-poe-switch
GEN-E8E9C823,Cudy 8 Port Gigabit Desktop Switch,7955.0,Network Switches,https://lifestore.lk/product/cudy-8-port-gigabit-desktop-switch
GEN-B1FEEA20,Dcp Link 8 Port Network Switch,4675.0,Network Switches,https://lifestore.lk/product/dcp-link-8-port-network-switch
GEN-1838BB59,Cudy 24 Port Gigabit Desktop Switch,32300.0,Network Switches,https://lifestore.lk/product/cudy-24-port-gigabit-desktop-switch
GEN-2380B2E5,Sonicgear Anc3000 Anc Foldable Bluetooth Headphone,15260.0,Audio & Music,https://lifestore.lk/product/sonicgear-anc3000-anc-foldable-bluetooth-headphone
GEN-2986DE73,Sonicgear Hyperbass Buds Xxl Earphones,3075.0,Audio & Music,https://lifestore.lk/product/sonicgear-hyperbass-buds-xxl-earphones
GEN-7AD21923,Sonicgear Earpump Tws 12 Anc Earbuds,11590.0,Audio & Music,https://lifestore.lk/product/sonicgear-earpump-tws-12-anc-earbuds
GEN-A62986C5,Sonicgear Bt5500 Soundbar Subwoofer,27490.0,Audio & Music,https://lifestore.lk/product/sonicgear-bt5500-soundbar-subwoofer
GEN-F58E5804,Sonicgear Audiox Pro 600Hd Portable Speaker,24395.0,Audio & Music,https://lifestore.lk/product/sonicgear-audiox-pro-600hd-portable-speaker
GEN-F2C9F703,Sonicgear Iox 2 Bluetooth Speaker System,6685.0,Audio & Music,https://lifestore.lk/product/sonicgear-iox-2-bluetooth-speaker-system
GEN-3AB809E4,Sonicgear Anc2000 Anc Bluetooth Headphone,13800.0,Audio & Music,https://lifestore.lk/product/sonicgear-anc2000-anc-bluetooth-headphone
GEN-A484A16D,Sonicgear Audioxpro 800Hd Portable Speaker,54365.0,Audio & Music,https://lifestore.lk/product/sonicgear-audioxpro-800hd-portable-speaker
GEN-60460CB2,Sonicgear Airphone 6 Bluetooth Headphpne,6140.0,Audio & Music,https://lifestore.lk/product/sonicgear-airphone-6-bluetooth-headphpne
GEN-F9098667,Sonicgear Airphone 3 Bluetooth Headphone,3895.0,Audio & Music,https://lifestore.lk/product/sonicgear-airphone-3-bluetooth-headphone
GEN-452D4EA9,Sonicgear Evo 9 Bluetooth Speaker Wireless Microphone,35965.0,Audio & Music,https://lifestore.lk/product/sonicgear-evo-9-bluetooth-speaker-wireless-microphone
GEN-2A782595,Sonicgear Airphone 5 Bluetooth Headphone,5320.0,Audio & Music,https://lifestore.lk/product/sonicgear-airphone-5-bluetooth-headphone
GEN-F2FEC50C,Tedi Vacuum Robot,159900.0,Bundle Offers,https://lifestore.lk/product/tedi-vacuum-robot
GEN-6CE901A5,Sonicgear Tws 16 Anc Wireless Earbuds,12135.0,Earbuds,https://lifestore.lk/product/sonicgear-tws-16-anc-wireless-earbuds
GEN-8A2C9AEB,Sonicgear Tws 5 Pro Earbuds,8450.0,Earbuds,https://lifestore.lk/product/sonicgear-tws-5-pro-earbuds
GEN-4D2CCD8F,Sonicgear Tws Comfy 1 Earbuds,7830.0,Earbuds,https://lifestore.lk/product/sonicgear-tws-comfy-1-earbuds
GEN-295E9EBB,Prolink Powerline Adaptor Kit,11420.0,Powerline Devices,https://lifestore.lk/product/prolink-powerline-adaptor-kit
GEN-CA504D10,Tp Link Powerline Adapter Wpa4220 Kit,12265.0,Powerline Devices,https://lifestore.lk/product/tp-link-powerline-adapter-wpa4220-kit
GEN-F3AAFAC0,Eset Home Security Essential 3 User 1 Year,5545.0,Internet Security,https://lifestore.lk/product/eset-home-security-essential-3-user-1-year
GEN-CA878BF1,Eset Internet Security 1 User 6 Months,1590.0,Internet Security,https://lifestore.lk/product/eset-internet-security-1-user-6-months
GEN-72DAFD62,Eset Nod32 Antivirus 1 User 3 Years,3720.0,Internet Security,https://lifestore.lk/product/eset-nod32-antivirus-1-user-3-years
GEN-371F1632,Eset Home Security Essential Multi Device 5 User 1 Year,7080.0,Internet Security,https://lifestore.lk/product/eset-home-security-essential-multi-device-5-user-1-year
GEN-8E69D984,Eset Home Security Essential 1 User 3 Year,4770.0,Internet Security,https://lifestore.lk/product/eset-home-security-essential-1-user-3-year
GEN-9440093C,Eset Home Security Essential 1 User 1 Year,2565.0,Internet Security,https://lifestore.lk/product/eset-home-security-essential-1-user-1-year
GEN-B41C2BB8,Eset Mobile Security 1 User 1 Year,1525.0,Internet Security,https://lifestore.lk/product/eset-mobile-security-1-user-1-year
GEN-38B678A5,Eset Nod32 Antivirus 1 User 1 Year,1715.0,Internet Security,https://lifestore.lk/product/eset-nod32-antivirus-1-user-1-year
GEN-B09947EE,Iiot Development Kit,10785.0,Internet of Things (IoT),https://lifestore.lk/product/iiot-development-kit
